30
1;P001;200.5;1;90
2;P002;150.0;0;50
3;P003;300.0;1;75
4;P004;500.0;0;20
5;P005;100.0;1;85
6;P006;250.0;0;40
7;P007;400.0;1;95
8;P008;120.0;0;30
9;P009;600.0;1;60
10;P010;50.0;0;10
11;P011;350.0;1;88
12;P012;450.0;0;25
13;P013;180.0;1;70
14;P014;220.0;0;55
15;P015;280.0;1;82
16;P016;320.0;0;45
17;P017;150.0;1;92
18;P018;270.0;0;35
19;P019;90.0;1;78
20;P020;410.0;0;15
21;P021;130.0;1;80
22;P022;210.5;0;45
23;P023;330.0;1;65
24;P024;420.0;0;12
25;P025;85.0;1;99
26;P026;550.0;0;22
27;P027;190.0;1;88
28;P028;275.0;0;33
29;P029;490.0;1;72
30;P030;315.0;0;58
